Motor Type,Device Type,Run Time Since Maintenance,Run Time Since Overhaul,Run Time Since Production,Age Since Overhaul,Age Since Production,TempF Mean - 1 Minute,TempF StDev - 1 Minute,TempF Range - 1 Minute,TempF Max - 1 Minute,TempF Mean - 15 Minutes,TempF StDev - 15 Minutes,TempF Range - 15 Minutes,TempF Max - 15 Minutes,Observations Above Max Temp - 24 Hours,Remaining Useful Life
Series-Wound,Fan,2116,4622,9340,310.55,987.13,71.33,0.24,0.38,71.57,92.86,0.18,0.48,93.17,0,2604.84
Series-Wound,Pump,2311,5216,10391,772.03,1300.54,73.27,0.13,0.21,73.44,92.92,1.8,4.84,93.57,0,2512.22
Permanent Magnet,Conveyor,5402,8520,13384,665.86,1211.56,72.93,2.65,5.59,76.66,104.14,1.91,4.82,105.1,1,1136.09
Permanent Magnet,Actuator,4014,7088,11830,532.84,1226.37,92.97,2.07,3.39,95.07,72.86,4.47,13.32,81.77,0,1972.98
Permanent Magnet,Fan,3704,6608,11646,497.24,896.91,72.19,2.26,5.4,76.32,74.11,0.27,0.66,74.3,0,2224.15
Permanent Magnet,Conveyor,4666,7199,12466,827.59,1534.74,77.25,4.42,9.89,78.55,84.46,0.83,2.03,85.61,0,1574.33
Shunt-Wound,Pump,4681,7481,12971,567.68,1014.86,71.11,0.47,0.83,71.73,71.64,1.63,4.4,74.93,0,2059.57
Permanent Magnet,Pump,4911,7997,12851,666.13,1116.93,82.46,0.29,0.69,82.74,75.81,0.12,0.32,76.03,0,1905.06
Permanent Magnet,Conveyor,1174,4400,9404,515.63,932.97,78.09,0.4,0.79,78.75,75.61,2.49,7.2,78.12,0,3113.98
Permanent Magnet,Actuator,3441,6814,11599,1130.17,1730.14,71.42,0.65,1.19,72.1,69.2,1.09,3.18,71.79,14,1135.77
Permanent Magnet,Fan,1738,4811,9445,442.98,767.21,90.19,0.23,0.4,90.48,89.02,2.4,6.01,90.63,8,1958.99
Series-Wound,Conveyor,2387,5862,10975,501.91,914.65,87.4,1.36,2.96,87.53,73.11,0.2,0.46,73.29,0,2644.24
Permanent Magnet,Actuator,3184,6127,11519,410.99,995.53,75.7,0.13,0.26,75.77,70.16,3.7,10.56,71.24,0,2529.02
Permanent Magnet,Conveyor,4862,7585,12745,614.7,1107.37,76.26,0.13,0.2,76.26,81.42,6.49,17.5,88.55,6,1113.79
Permanent Magnet,Pump,5434,8438,13463,751.7,1340.28,71.99,0.19,0.42,72.03,75.39,1.5,3.87,78.28,8,970.64
Series-Wound,Fan,3820,7124,11892,474.45,963.86,79.52,1.93,4.26,79.69,72.29,0.14,0.35,72.58,0,2083.64
Permanent Magnet,Conveyor,3509,6132,11354,526.69,894.37,70.17,6.48,10.85,78.05,81.45,3.73,10.33,88.15,0,2081.63
Permanent Magnet,Fan,3012,5732,11229,769.84,1127.31,73.47,0.22,0.45,73.71,101.26,1.23,3.13,101.91,0,2264.93
Shunt-Wound,Actuator,3856,6437,11059,781.56,1346,69.99,2.06,3.55,70.75,72.96,2.85,8.53,76.88,0,2190.72
Permanent Magnet,Fan,2980,5668,10616,529.3,951.37,74.54,0.24,0.4,74.76,71.54,1.08,3.22,72.26,0,2659.83
Series-Wound,Fan,5747,8555,13648,921.8,1565.48,70.11,0.15,0.32,70.13,76.14,1.41,4.21,77.11,10,462.62
Shunt-Wound,Conveyor,1993,4791,10168,349.2,695.13,72.98,0.17,0.38,73.07,70.19,0.29,0.69,70.4,0,2903.62
Shunt-Wound,Actuator,4378,7795,12904,1029.05,1615.49,69.12,1.45,3.61,72.03,72.13,0.24,0.49,72.29,22,1
Series-Wound,Fan,3191,5996,10509,595.95,1070.14,74.63,0.22,0.35,74.67,71.14,0.25,0.7,71.72,0,2471.67
Permanent Magnet,Conveyor,1577,4656,9637,386.07,748.29,69.94,2.07,4.67,71.92,90.34,1.6,4.78,94.14,0,2887.74
Series-Wound,Conveyor,1853,4480,9864,422.24,954.09,89.17,0.28,0.54,89.41,72.68,0.13,0.37,72.8,0,2731.22
Permanent Magnet,Pump,3789,7139,12269,569.86,1096.41,72.74,1.52,2.55,74.77,73.39,2.38,7.1,77.67,0,2135.55
Shunt-Wound,Actuator,2142,5234,10591,422.43,1241,73.88,0.73,1.47,73.91,72.69,2.98,7.99,74.43,0,2756.44
Permanent Magnet,Fan,2839,5714,10535,535.3,871.42,77.03,0.31,0.67,77.18,81.45,0.33,0.95,82.12,0,2588.1
Permanent Magnet,Pump,1531,4097,9110,391.12,1017.57,69.37,0.25,0.46,69.55,71.85,1.34,2.74,72.38,0,3078.26
Permanent Magnet,Fan,2091,4721,9274,368.92,768.81,78.12,1.44,3.35,79.11,72.43,0.61,1.74,73.73,4,2404.5
Series-Wound,Conveyor,2296,5171,9836,537.59,885.06,69.79,0.22,0.34,70.04,71.11,1.03,2.79,72.41,0,2760.13
Series-Wound,Fan,2986,5549,10434,463.04,1197.92,82.57,0.16,0.34,82.79,71.5,6.45,16.26,74.24,6,1749.89
Permanent Magnet,Actuator,2647,5286,10421,558.51,1024.2,74.01,0.71,1.51,74.7,74.26,0.31,0.7,74.73,0,2672.61
Series-Wound,Fan,3741,6987,12277,530.93,938.35,71.37,0.12,0.21,71.43,98.76,0.44,1.32,99.53,0,2026.93
Permanent Magnet,Pump,4262,7473,12554,1037.8,1788.32,72.13,0.96,2.2,72.65,74.26,0.21,0.47,74.68,11,958.9
Shunt-Wound,Actuator,1756,4578,9866,382.2,970.28,98.9,0.45,0.77,99.52,71.81,0.99,2.3,73.16,0,2793.51
Shunt-Wound,Conveyor,5761,8986,13695,876.04,1195.02,72.41,3.72,8.8,72.92,71.49,4.09,9.02,73.92,0,1372.34
Permanent Magnet,Fan,2925,5790,10411,437.35,774.62,73.05,2.29,5.5,75.87,82,0.34,0.77,82.46,0,2439.53
Series-Wound,Conveyor,1600,4606,9676,315.34,646.24,72.46,2.12,5.19,75.13,87.56,3.78,7.96,88.61,0,2706.2
Shunt-Wound,Pump,3560,6313,11326,405.28,734.38,96.7,3.35,6.44,98.06,69.7,1.43,3.5,70.9,0,2022.76
Series-Wound,Fan,1941,5427,10843,539.41,1066.93,87.64,0.28,0.52,87.96,69.72,2.7,5.96,73.21,0,2740.9
Shunt-Wound,Pump,2997,5863,10880,452.85,783.76,70.77,0.18,0.43,70.93,75.51,0.59,1.71,76.23,0,2516.6
Permanent Magnet,Conveyor,1205,4423,9396,484.24,1133.37,105.09,0.12,0.25,105.16,71.01,0.38,1.13,71.67,0,3112.47
Permanent Magnet,Fan,2936,5534,10496,704.65,1212.63,76.67,1.32,2.26,78.04,82.89,0.3,0.65,83.22,0,2465.3
Permanent Magnet,Pump,1055,3690,8417,584.15,1351.75,79.52,0.73,1.65,80.21,71.07,0.18,0.44,71.23,0,3176.68
Permanent Magnet,Conveyor,4478,7472,12952,516.18,890.77,73.42,0.97,1.83,75.01,95.67,0.74,2.06,96.72,0,1850.47
Shunt-Wound,Pump,4511,7088,11779,747.11,1146.18,69.81,4.56,7.04,70.84,73.45,0.16,0.49,73.79,0,1781.27
Permanent Magnet,Pump,4097,6834,12038,700.22,1325.55,94.07,2.03,3.47,96.68,81.33,0.18,0.42,81.58,0,1962.93
Series-Wound,Pump,5024,7775,12830,813.44,1389.95,99.54,0.17,0.32,99.65,81.31,0.16,0.47,81.62,0,1502.89
Permanent Magnet,Conveyor,2028,5482,10058,439.83,879.83,81.2,0.25,0.5,81.51,84.21,0.22,0.5,84.59,0,2721.92
Permanent Magnet,Fan,2183,5399,10548,517.85,1095.48,95.13,0.14,0.31,95.28,77.18,0.26,0.77,77.4,0,2617.51
Permanent Magnet,Pump,4609,7727,12688,813.19,1281.58,73.73,0.86,2.1,74.05,70.46,0.2,0.59,70.85,0,2008.21
Shunt-Wound,Fan,2057,5531,10704,456.37,1116.55,103.39,0.38,0.81,103.59,84.8,1.16,2.71,85.58,0,2466.94
Permanent Magnet,Pump,2842,5986,11389,633.82,1023.6,76.55,0.88,1.39,76.59,71.99,3.3,8.08,76.79,11,1613.82
Permanent Magnet,Conveyor,5114,8446,13249,975.77,1416.05,69.69,1.12,1.69,70.12,99.22,0.25,0.7,99.52,2,1351.19
Permanent Magnet,Fan,1205,4088,9047,570.64,910.84,70.47,2.79,6.23,75.68,87.1,3.05,9.02,94.12,0,2901.65
Permanent Magnet,Pump,2327,5470,10668,539.52,1006.4,73.63,5.8,11.44,83.27,74.79,0.43,1.24,75.43,0,2455.66
Permanent Magnet,Actuator,5059,8358,13832,632.6,1053.26,74.81,0.33,0.55,75.26,73.28,0.14,0.29,73.48,0,1855.92
Shunt-Wound,Pump,4027,6962,12393,556.85,1286.44,73.8,0.53,0.91,74.22,84.2,0.26,0.76,84.54,0,2074.76
Permanent Magnet,Pump,1961,5125,10579,685.77,1097.48,96.56,0.4,0.87,96.61,70.34,4.94,14.35,77.53,0,2684.52
Permanent Magnet,Fan,3241,6045,10785,898.31,1479.47,71.03,4.4,8.83,75.6,80.6,0.28,0.58,80.69,0,2085.15
Shunt-Wound,Pump,5164,7944,12537,587.41,1141.08,73.33,5.3,11.02,75.74,91.26,0.27,0.58,91.72,0,1352.88
Series-Wound,Actuator,1733,5122,9707,556.18,861.63,102.8,0.28,0.64,103.05,71.63,3.39,7.45,76.8,0,2633.19
Shunt-Wound,Actuator,3828,6811,11453,642.75,1361.65,76.44,4.5,10.33,77.52,73.34,0.26,0.54,73.57,0,1856.2
Shunt-Wound,Actuator,3660,6301,11606,544.52,1203.14,71.55,1.98,3.65,71.88,72.61,4.36,10.46,79,0,2220
Permanent Magnet,Conveyor,1161,4520,9323,669.92,1197.8,72.62,6.3,12.89,83.68,94.12,0.12,0.24,94.29,0,2672.42
Permanent Magnet,Fan,2141,4951,9795,623.16,958.48,86.37,2.3,4.86,90.35,73.07,0.22,0.48,73.36,14,1475.74
Series-Wound,Conveyor,1274,4537,9108,413.45,860.15,74.9,0.32,0.53,74.93,73.52,0.34,0.83,74.18,0,3139.66
Shunt-Wound,Pump,2288,4939,9440,430.71,968.29,72.81,0.42,0.85,73.3,71.84,3.34,8.08,75.88,6,2269.55
Series-Wound,Actuator,1428,4341,9357,423.48,801.53,72.57,1.77,3.4,72.86,75.88,1.31,2.83,77.59,0,2922.26
Series-Wound,Fan,5245,7834,12867,540.08,1116.41,75.63,0.24,0.37,75.9,70.73,1.94,4.14,70.85,0,1811.6
Permanent Magnet,Conveyor,5108,7868,13315,659.84,1087.87,71.36,6.18,10.03,71.98,71.95,3.77,8.93,77.58,7,975.64
Permanent Magnet,Conveyor,3529,6493,11896,550.68,1058.89,69.4,4.64,11.39,74.23,79.57,0.31,0.76,80.08,0,2013.6
Series-Wound,Pump,2976,6334,11075,932.86,1248.45,71.02,0.22,0.4,71.26,88.49,0.31,0.63,88.68,16,938.84
Series-Wound,Fan,1416,4685,10052,748.87,1242.8,90.02,0.4,0.75,90.37,71.76,3.25,7.83,72.89,28,292
Permanent Magnet,Pump,2117,4675,9679,455.79,1201.95,98.18,1.53,3.53,99.53,70.48,0.76,1.64,70.6,0,2605.5
Permanent Magnet,Actuator,3848,6407,11609,741.36,1133.77,99.76,6.67,14.48,108.82,71.16,2.62,6.9,73.08,0,1723.73
Permanent Magnet,Conveyor,3604,7004,11573,916.84,1504.45,70.86,0.25,0.38,71,97.48,1.56,3.17,98.72,0,2060.56
Permanent Magnet,Fan,1571,4233,9161,372.56,831.14,71.13,0.43,0.85,71.2,84.48,3.49,7.41,87.16,7,2247.95
Series-Wound,Conveyor,2171,5302,10574,624.68,996.99,74.23,5.58,9.68,81.81,79.42,0.17,0.39,79.59,0,2446.31
Permanent Magnet,Actuator,5050,8381,13338,585.64,979.55,72.56,0.87,1.84,73.16,82.02,0.24,0.64,82.04,0,1787.48
Permanent Magnet,Conveyor,3637,7083,11878,549.19,865.85,93.76,0.2,0.39,93.93,70.07,0.17,0.46,70.14,9,1405.78
Permanent Magnet,Actuator,5626,8526,13317,550.06,1296.44,70.48,1.45,2.57,72.7,89.12,2.33,5.49,89.81,0,1364.09
Permanent Magnet,Actuator,5343,8582,14067,673.74,1043.76,96.01,0.37,0.57,96.16,73.46,5.39,11.74,82.12,0,1510.02
Permanent Magnet,Fan,1310,3823,9210,458.14,820.71,78.64,0.38,0.73,79.24,98.93,0.81,1.89,99.13,30,66.3
Shunt-Wound,Actuator,3098,6463,11422,635.81,1231.95,69.9,0.29,0.64,70.12,72.16,0.15,0.31,72.39,0,2520.97
Permanent Magnet,Fan,4239,7479,12391,522.21,995.51,94.59,0.65,1.36,94.86,70.75,0.26,0.53,71.01,0,2031.3
Permanent Magnet,Fan,5032,7629,12212,825.25,1345.95,69.16,2.95,6.96,74.4,84.72,0.2,0.53,84.81,0,1617.95
Permanent Magnet,Fan,4997,7819,13214,529.18,979.68,96.74,3.79,7.28,97.88,71.65,0.91,1.93,72.33,0,1564.42
Series-Wound,Actuator,1314,4434,9701,297.11,690.77,77.79,0.41,1.02,77.9,82.34,2.31,6.07,84.01,0,3033.47
Permanent Magnet,Pump,2778,5772,10912,395.01,1155.09,76.26,6.51,13.89,87.82,77.24,1.03,3.07,78.88,12,1118.28
Permanent Magnet,Fan,4457,7158,12214,472.62,919.17,69.42,4.46,7.97,72.66,75.27,1.17,3.47,76.65,0,1850.92
Permanent Magnet,Actuator,4825,8322,13173,602.49,1380.57,75.74,0.22,0.46,76.12,77.22,0.11,0.28,77.33,12,772.65
Permanent Magnet,Actuator,5153,8382,13617,837.34,1330.5,78.7,0.28,0.43,78.76,77.2,0.19,0.41,77.42,0,1770.28
Permanent Magnet,Fan,4749,7577,12348,518.62,1008.33,89.1,5.64,12.79,90.97,70.24,0.28,0.83,70.37,0,1505.21
Permanent Magnet,Fan,3795,7045,12392,496.19,980.58,73.31,0.52,1.17,73.84,69.19,1.02,2.45,69.66,0,2252.78
Series-Wound,Conveyor,2434,5377,9975,659.46,1401.21,70.63,4.95,7.5,75.27,76.08,3.28,6.8,79.67,5,1879.69
Shunt-Wound,Actuator,1923,5243,9966,820.58,1474.59,85.71,0.4,0.61,85.76,72.38,0.18,0.41,72.44,2,2692.71
Permanent Magnet,Pump,4329,7583,12900,536.91,1161.75,74.12,0.27,0.61,74.28,72.22,2.1,4.38,74.48,0,2087.4
Series-Wound,Fan,4913,7419,12137,510.67,899.28,85.4,0.7,1.35,86.45,76.34,0.45,1.3,76.83,0,1671.66
Series-Wound,Pump,4377,7282,12457,614.86,1115.65,70.52,1.12,2.24,71.07,69.92,1.39,3.76,70.23,0,1931.65
Permanent Magnet,Conveyor,4212,7330,12194,551.35,1097.33,73.72,0.92,1.5,73.86,83.98,0.2,0.4,84.17,0,2020.96
Permanent Magnet,Actuator,3374,6448,11190,663.15,1114.09,69.73,0.46,0.79,70.07,74.01,0.24,0.62,74.38,12,1376.57
Permanent Magnet,Fan,3113,6017,11055,922.41,1285.52,69.48,0.23,0.55,69.82,69.19,0.46,1.36,69.96,0,2471.84
Permanent Magnet,Conveyor,1731,4264,9531,673.46,1217.94,88.24,0.25,0.53,88.47,72,3.76,9.82,79.4,0,2922.87
Shunt-Wound,Pump,4474,7274,12764,978.68,1502.04,70.98,2.89,6.31,74.18,93.61,4.96,12.83,97.41,8,702.06
Permanent Magnet,Pump,1150,4236,9090,397.92,826.11,94.02,0.44,1,94.28,75.71,0.29,0.8,76.27,0,3080.13
Permanent Magnet,Conveyor,3802,7028,12032,456.05,1158.44,81.4,0.28,0.64,81.72,85.58,0.27,0.63,86,0,2164.06
Permanent Magnet,Actuator,5280,8653,13438,618.95,1092.75,95.2,0.15,0.29,95.3,73.82,0.37,0.78,73.92,0,1717.7
Permanent Magnet,Fan,3744,6817,11451,795.68,1157.21,94.27,4.9,11.17,99.33,94.24,0.42,1,94.89,3,1408.27
Series-Wound,Conveyor,2382,5857,10970,490.62,1324.61,70.91,5.83,11.59,75.57,74.28,0.15,0.36,74.5,0,2273.04
Permanent Magnet,Actuator,1893,4836,10228,772.24,1191.87,73.83,0.3,0.58,74.3,71.12,1.98,4.85,71.36,10,1984.3
Permanent Magnet,Conveyor,4085,6808,11968,598.49,1031.78,73.47,0.24,0.43,73.78,85.41,0.31,0.9,85.56,0,2176.59
Permanent Magnet,Pump,1963,4967,9992,490.02,992.65,69.38,0.25,0.39,69.67,75.05,1.2,2.47,75.24,0,2939.87
Series-Wound,Fan,5669,8973,13741,793.4,1114.12,79.3,3.12,5.34,81.25,72.36,0.26,0.68,72.41,0,1351.53
Permanent Magnet,Conveyor,3784,6407,11629,1005.35,1501.5,76.26,0.23,0.44,76.58,75.93,3.42,8.63,75.95,0,2115.04
Permanent Magnet,Fan,5097,7817,13314,1226.64,1947.7,72.8,6.49,15.31,81.29,86.99,0.19,0.39,87.19,0,1210.75
Shunt-Wound,Actuator,1304,3885,8507,257.3,616.57,72.8,1.6,3.4,75.62,104.4,0.95,2.14,105.77,0,2850
Permanent Magnet,Fan,4849,7537,12485,1176.53,1781.45,83.92,2.67,6.4,86.73,73.79,0.58,1.51,74.27,0,1491.03
Series-Wound,Fan,3367,6175,11268,414.82,1051.38,85.7,0.3,0.46,85.88,82.46,0.32,0.72,82.57,0,2257.1
Shunt-Wound,Conveyor,1072,3870,9247,300.54,852.38,81.21,0.24,0.46,81.49,74.2,0.18,0.5,74.3,16,1613.23
Shunt-Wound,Actuator,3858,7275,12384,491.43,872.17,75.62,0.19,0.39,75.84,70.31,0.73,1.9,70.81,0,2297.18
Series-Wound,Fan,3923,6728,11241,943.92,1501.1,71.01,1.68,2.76,71.72,69.1,6.67,17.46,78.19,2,1737.69
Permanent Magnet,Conveyor,4526,7605,12586,741.17,1090.14,96.41,0.2,0.38,96.53,71.56,0.35,0.89,72.16,0,1861.61
Series-Wound,Conveyor,1838,4465,9849,306.34,698.87,69.94,0.9,1.5,70.49,86.43,0.91,2.4,88.55,12,1610.05
Permanent Magnet,Pump,4266,7616,12746,932.08,1400.17,69.88,3.08,6.75,73.7,71.47,0.31,0.92,71.69,1,1780.13
Shunt-Wound,Actuator,4773,7865,13222,611.91,975.58,78.03,5.61,12,84.1,92.98,3.33,8.34,98.3,0,1377.02
Permanent Magnet,Fan,1241,4116,8937,420.34,1126.46,72.74,1.42,2.94,73.66,90.68,0.29,0.7,90.68,0,2929.68
Permanent Magnet,Pump,5333,7899,12912,607.86,1206.94,70.19,0.5,0.81,70.49,74.39,5.43,11.79,78.92,0,1732.13
Permanent Magnet,Fan,1127,3757,8310,265.42,577.93,74,0.1,0.23,74.08,81.37,0.14,0.28,81.41,0,3310.31
Series-Wound,Conveyor,5798,8673,13338,595.65,966.33,69.95,4.87,7.91,76.63,73.84,0.16,0.32,74.11,0,1384.25
Series-Wound,Fan,5434,7997,12882,536.61,922.7,69.54,0.41,0.77,69.78,103.61,0.21,0.46,103.62,0,1449.74
Permanent Magnet,Actuator,3157,5796,10931,500.97,1222.92,74.34,5.29,12.44,76.88,100.96,2.08,5.71,105.56,0,1863.47
Series-Wound,Fan,4789,8035,13325,831.13,1337.67,74.12,3.97,6.26,78.22,82.26,0.15,0.4,82.47,0,1597.09
Permanent Magnet,Pump,3889,7100,12181,1129.11,1467.76,73.8,0.18,0.37,73.88,73.06,0.11,0.28,73.27,11,1269.17
Shunt-Wound,Actuator,1490,4312,9600,587.57,979.67,71.16,1.55,3.19,71.66,70.52,0.22,0.62,70.86,0,3050.29
Shunt-Wound,Conveyor,2155,5380,10089,579.39,1137.89,73.07,0.15,0.33,73.2,79.42,0.32,0.82,80.14,0,2777.54
Permanent Magnet,Fan,4130,6995,11616,1062.42,1426.79,73.61,0.26,0.5,73.96,73.54,0.49,1.11,74.09,0,2131.53
Series-Wound,Conveyor,3451,6457,11527,488.72,894.22,75.87,0.62,1.36,76.46,70.08,2.18,4.5,71.44,0,2250.59
Shunt-Wound,Pump,4603,7356,12369,1008.2,1380.34,76.55,0.33,0.72,76.92,74.68,0.45,1.21,75.11,0,1842.96
Series-Wound,Fan,5938,9424,14840,746.81,1413.25,85.41,0.19,0.38,85.53,70.83,2.58,6.66,76.15,0,1255.82
Shunt-Wound,Pump,1224,4090,9107,307.06,1140.93,76.43,0.53,0.9,76.46,76.35,0.28,0.71,76.51,0,3115.13
Permanent Magnet,Conveyor,2407,5625,10598,584.31,1198,76.53,0.53,1.12,77.15,72.89,0.84,1.95,74.14,0,2707.53
Permanent Magnet,Fan,4277,6875,11837,517.8,928.61,77.23,1.18,2.23,79.22,76.24,0.29,0.73,76.84,14,756.11
Permanent Magnet,Pump,2277,4912,9639,386.88,909.79,77.76,3.75,7.75,77.78,71.38,0.12,0.33,71.55,30,1
Permanent Magnet,Conveyor,1102,4096,9576,456.47,814.63,91.88,0.52,0.93,92.68,70.33,1.21,3.33,70.86,0,3130.93
Shunt-Wound,Pump,4808,7385,12076,619.5,1058.43,72.89,1.08,2.61,74.28,70.54,0.28,0.56,70.82,0,1984.01
Permanent Magnet,Pump,5663,8400,13604,625.19,1105.07,71.29,0.13,0.22,71.29,81.05,0.26,0.73,81.44,0,1590.09
Series-Wound,Pump,3967,6718,11773,752.09,1156.86,71.69,0.38,0.92,72.1,73.99,6.53,14.78,76.53,0,2090.84
Permanent Magnet,Conveyor,4436,7890,12466,1268.63,1727.51,85.65,0.65,1.14,86.06,71.45,0.4,0.84,72.05,0,1983.19
Permanent Magnet,Fan,2412,5628,10777,368.22,1160.42,74.94,0.24,0.44,75.11,84.02,2.3,6.52,87.63,0,2660.18
Permanent Magnet,Pump,4799,7917,12878,1018.58,1564.02,76.14,2.35,5.72,76.84,70.17,0.27,0.7,70.67,18,27.38
Shunt-Wound,Fan,3559,7033,12206,550.53,1196.21,73.58,0.22,0.39,73.83,102.41,4.5,10.74,109.9,0,2007.46
Permanent Magnet,Pump,2257,5401,10804,390.65,1033.02,87.25,0.45,1.01,87.85,103.11,0.3,0.67,103.69,0,2425.5
Permanent Magnet,Conveyor,5962,9294,14097,666.93,1015.92,79.34,0.21,0.48,79.77,103.03,0.25,0.66,103.34,0,1275.32
Permanent Magnet,Fan,5116,7999,12958,965.36,1303.55,80.17,6.34,13.86,81.28,89.74,2.77,8.14,95.06,6,550.62
Permanent Magnet,Pump,2858,6001,11199,581.12,1057.07,87.33,5.88,10.14,93.52,98.56,1.12,3.16,99.35,18,236.05
